Species;Order;Life_Expectancy;Body_Mass;RDI;N_Death;Necropsy_Effort;Animal;Vertebrate;Invertebrate;Herptile;Mammal;Group;Occurence;Proportion;Prevalence
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;1;0.090909091;0.001416431
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;1;0.090909091;0.001416431
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;2;0.25;0.003552398
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;1;0.125;0.001776199
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;1;0.125;0.001776199
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;5;NA;0.008880995
Ailurus_fulgens;Carnivora;3953.735984;5.97539102;154;563;0.273534636;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;4;0.5;0.007104796
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;9;NA;0.008928571
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;1;0.083333333;0.000992063
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;3;0.25;0.00297619
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;4;0.333333333;0.003968254
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;3;0.25;0.00297619
Ammotragus_lervia;Artiodactyla;4683.626601;67.43510168;262;1008;0.259920635;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;1;0.083333333;0.000992063
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;1;1;0.001730104
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;0;0;0
Antidorcas_marsupialis;Artiodactyla;2377.822403;29.85093572;231;578;0.399653979;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
